epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
68,9897.6,1.83157,2.29075,1.5796,0.77592,0.23834,0.30661,0.12896,0.22345,2.25408,0.22775,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,10044,1.8212,2.22866,1.59254,0.77886,0.23898,0.30574,0.13015,0.22149,2.15963,0.22684,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,10188,1.83761,2.33309,1.58241,0.80246,0.22581,0.29472,0.12754,0.2238,1.50027,0.22954,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,10332,1.82504,2.36957,1.5692,0.77779,0.23387,0.29449,0.12781,0.2247,1.62711,0.22906,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,10478,1.83473,2.28636,1.57787,0.78454,0.24798,0.2987,0.127,0.22455,1.4667,0.22894,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,10623.1,1.84689,2.27243,1.59272,0.7634,0.24194,0.2904,0.12694,0.2243,1.62345,0.22846,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,10767.1,1.81492,2.21663,1.58674,0.77767,0.25806,0.29591,0.1275,0.22293,1.47274,0.22728,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,10913,1.79007,2.25322,1.5351,0.7766,0.25,0.29092,0.12262,0.22514,2.22998,0.22892,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,11056,1.79431,2.31442,1.55688,0.78975,0.23387,0.30938,0.13485,0.22154,1.28975,0.22623,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,11200,1.76589,2.21417,1.53474,0.77552,0.22984,0.30307,0.13416,0.21901,1.36496,0.22412,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,11344.6,1.7727,2.14544,1.51803,0.78564,0.24194,0.30343,0.1324,0.22035,1.49775,0.2245,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,11490,1.81822,2.15489,1.56949,0.76987,0.26411,0.31805,0.14242,0.21832,1.8166,0.22446,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,11634.5,1.78084,2.15925,1.55968,0.77852,0.25605,0.3134,0.13521,0.2227,1.20836,0.2272,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,11779.2,1.76057,2.1607,1.53109,0.79463,0.23589,0.301,0.13053,0.22252,1.23552,0.22736,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,11923.6,1.82178,2.16468,1.55114,0.78131,0.24119,0.30967,0.13104,0.22387,1.33612,0.22772,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,12068.6,1.76246,2.19783,1.55375,0.77605,0.26613,0.31482,0.13821,0.22235,1.43882,0.2275,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,12214.1,1.71719,2.12593,1.4924,0.78198,0.25816,0.32033,0.14154,0.22134,1.34582,0.22681,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,12358.4,1.74327,2.05323,1.55091,0.81206,0.24597,0.32555,0.14269,0.22194,1.36839,0.22697,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,12503.6,1.68696,2.01067,1.47107,0.80425,0.24194,0.32181,0.13907,0.22349,1.05979,0.22866,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,12649,1.68569,2.09084,1.48097,0.83219,0.23547,0.32341,0.13777,0.22404,1.25919,0.22913,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
